ZIP File,Permissions,File System,Network,Rendering,User Interaction
gnhillenbgifpbjgbjbnapmlfanpmdag_1.0.2.zip,"[""activeTab"", ""storage"", ""contextMenus""]","{""navigator.clipboard.writeText"": 1}",{},"{""setTimeout"": 14, ""document.createElement"": 9, ""document.getElementById"": 3, ""window.open"": 2, ""chrome.tabs.create"": 2, ""setInterval"": 1}","{""addEventListener"": 9, ""chrome.contextMenus.create"": 3, ""window.confirm"": 1}"
hjopbcbmmkdeocepjmejenlnhafhmikj_2.1.8.1.zip,"[""tabs"", ""notifications"", ""background"", ""contextMenus"", ""idle"", ""activeTab"", ""storage"", ""scripting"", ""alarms""]","{""localStorage.setItem"": 2, ""localStorage.getItem"": 2}","{""fetch"": 2, ""new WebSocket"": 1}","{""document.querySelector"": 68, ""setTimeout"": 52, ""document.createElement"": 40, ""document.getElementById"": 9, ""new MutationObserver"": 7, ""setInterval"": 4}","{""addEventListener"": 114}"
mppcjhccdfedhadaplmaicbjlpmgnkdi_1.04.zip,"[""storage""]",{},"{""fetch"": 14}","{""document.createElement"": 61, ""document.querySelector"": 28, ""element.style"": 8, ""setTimeout"": 7, ""new MutationObserver"": 2, ""window.open"": 1}","{""addEventListener"": 28}"
kjdmkgfoecgachgcfpeplgadmdhkppla_1.4.zip,"[""scripting"", ""storage""]","{""document.cookie"": 1}","{""fetch"": 5, ""new XMLHttpRequest"": 1}","{""document.getElementById"": 14, ""setTimeout"": 12, ""document.createElement"": 4, ""document.querySelector"": 1}","{""addEventListener"": 19}"
kdllmcbmmpodaanhafejcpfamcljnobf_1.3.0.zip,"[""scripting"", ""storage"", ""declarativeNetRequest""]","{""new Blob"": 3, ""localStorage.setItem"": 1, ""localStorage.getItem"": 1, ""navigator.clipboard.writeText"": 1}","{""fetch"": 25}","{""setTimeout"": 63, ""document.createElement"": 29, ""document.querySelector"": 15, ""document.getElementById"": 7, ""setInterval"": 7, ""chrome.tabs.create"": 4, ""new MutationObserver"": 3, ""window.open"": 3}","{""addEventListener"": 70, ""window.prompt"": 1}"
dealahdjdklbdfbfbolmflihclmkgjap_1.0.zip,"[""tabs""]",{},{},"{""document.getElementById"": 2, ""chrome.windows.create"": 1}","{""addEventListener"": 1}"
neicggjhoemeicaahkgdoehnjoccfhco_1.2.zip,"[""storage"", ""unlimitedStorage""]","{""localStorage.setItem"": 2, ""localStorage.getItem"": 2}","{""fetch"": 114}","{""setTimeout"": 14, ""document.createElement"": 6, ""document.querySelector"": 3, ""chrome.tabs.create"": 3, ""setInterval"": 2, ""document.getElementById"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 14}"
ndnijdpeemcjongapibpkoclhleoajnd_1.4.0.zip,"[""tabs"", ""storage"", ""offscreen"", ""tabCapture"", ""sidePanel"", ""activeTab"", ""clipboardRead""]","{""document.cookie"": 2, ""localStorage.setItem"": 1, ""localStorage.getItem"": 1, ""new Blob"": 1}","{""fetch"": 37, ""new WebSocket"": 2, ""new XMLHttpRequest"": 1}","{""setTimeout"": 45, ""document.querySelector"": 14, ""document.createElement"": 11, ""setInterval"": 8, ""window.open"": 5, ""new MutationObserver"": 2, ""document.getElementById"": 2}","{""addEventListener"": 69, ""window.onbeforeunload"": 1, ""chrome.tabs.onActivated.addListener"": 1}"
dmibboeahipddbmdipdhfegijemhbmek_4.0.3.zip,"[""storage""]",{},{},"{""document.getElementById"": 6, ""document.querySelector"": 5, ""document.createElement"": 2, ""new MutationObserver"": 2, ""element.innerHTML"": 1}","{""addEventListener"": 11}"
dgepepjfdcnpeakmlodopdcomhldeelf_1.1.0.zip,[],{},"{""fetch"": 10}","{""setTimeout"": 10, ""document.createElement"": 5, ""document.querySelector"": 4, ""new MutationObserver"": 4, ""setInterval"": 3, ""document.getElementById"": 1}","{""addEventListener"": 20}"
abcpkcpgbahdgcedkigobhebmooficok_1.0.zip,"[""clipboardRead"", ""contextMenus"", ""activeTab"", ""scripting"", ""https://visa.mofa.gov.sa/*""]","{""navigator.clipboard.readText"": 3}",{},"{""document.getElementById"": 61}","{""chrome.contextMenus.create"": 1, ""addEventListener"": 1}"
